ISO	Language	Level	Category	CategoryEN	Region1Code	Region2Code	Region3Code	Region4Code	Region	Latitude	Longitude	Elevation	ISO2	FIPS	NUTS	HASC	STAT
AI	EN	1	District	District	01				Blowing Point	18.17368	-63.09835	7				AI.BP	
AI	EN	1	District	District	02				East End	18.24490	-62.99145	9				AI.EE	
AI	EN	1	District	District	03				George Hill	18.18969	-63.06478	27				AI.GH	
AI	EN	1	District	District	04				Island Harbour	18.25686	-63.00677	6				AI.IH	
AI	EN	1	District	District	05				North Hill	18.20652	-63.07664	7				AI.NH	
AI	EN	1	District	District	06				North Side	18.23041	-63.04329	8				AI.NS	
AI	EN	1	District	District	07				Sandy Ground	18.20000	-63.08333	7				AI.SG	
AI	EN	1	District	District	08				Sandy Hill	18.21319	-63.01955	4				AI.SH	
AI	EN	1	District	District	09				South Hill	18.19133	-63.09717	6				AI.SO	
AI	EN	1	District	District	10				Stoney Ground	18.21802	-63.04729	7				AI.ST	
AI	EN	1	District	District	11				The Farrington	18.24500	-63.04200	4				AI.TF	
AI	EN	1	District	District	12				The Quarter	18.21243	-63.04458	5				AI.TQ	
AI	EN	1	District	District	13				The Valley	18.22624	-63.05234	8				AI.TV	
AI	EN	1	District	District	14				West End	18.16568	-63.15868	7				AI.WE	
AI	EN	1	Islands group	Islands group	50				Small islands	18.26670	-63.28330	1				-	
AL	SQ	1	Prefekturë	Prefecture	01				Berat	40.75230	19.98979	111	AL-01	AL40		AL.BE	01
AL	SQ	1	Prefekturë	Prefecture	02				Durrës	41.34668	19.66066	46	AL-02	AL42		AL.DU	03
AL	SQ	1	Prefekturë	Prefecture	03				Elbasan	41.05855	20.11882	217	AL-03	AL43		AL.EB	04
